StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q40_1,Q40_2,Q40_3,Q40_4,Q40_5,Q41,Q44,Q45,Q43,Q3,Q4,Q21,Q6_1,Q6_2,Q6_3,Q7,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,Q11_13,Q11_14,Q11_14_TEXT,Q14,Q50,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12,Q15_1,Q15_2,Q15_3,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q9_11,Q9_12,Q9_13,Q9_14,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q8,Q33,Q34,Q35,Q38,Q31,Q31_1,Q31_2,Q31_3,Q31_4,Q31_5,Q31_6,Q31_7,Q31_8,Q31_9,Q31_10,Q26,Q27,Q48
x,x,x,x,100,489,TRUE,x,R_1KlPNRfrFgcSKuN,,,,,34.23370361,-118.2536011,anonymous,EN,Definitely not,Definitely yes,Definitely yes,Probably not,Definitely yes,x,x,x,x,No,Yes,x,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Never,x,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,x,Somewhat disagree,Strongly disagree,Disagree,5,5,2,5,5,5,5,5,4,5,5,5,1,1,Never,Never,Never,Never,Never,Never,Never,Strongly agree,Disagree,Strongly agree,Disagree,Strongly agree,Agree,Strongly Disagree,Probably yes,All were helpful ,x,x,x,Clinical,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Agree,Strongly agree,Somewhat agree,Strongly agree,Strongly Disagree,Definitely yes,x,x
x,x,x,x,100,1228,TRUE,x,R_DeQdBjCbRNDetyx,,,,,32.2460022,-110.9177017,anonymous,EN,Definitely not,Definitely yes,Probably yes,Definitely yes,Definitely yes,x,x,x,x,No,Yes,x,Extremely satisfied,Extremely satisfied,Somewhat satisfied,,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Never,x,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,x,Somewhat disagree,Neither agree nor disagree,Somewhat agree,5,5,4,5,5,4,5,5,5,4,5,5,4,5,Never,Never,Never,Always,Rarely,Rarely,Never,Neither agree nor disagree,,Disagree,Disagree,Agree,Agree,Disagree,Might or might not,"Teaching of Psychology, PSYC 596L Analyzing Neural Time-series Data",x,x,x,Cognition and Neural Systems,Agree,Strongly agree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Agree,Neither agree nor disagree,Strongly Disagree,Definitely yes,x,x
x,x,x,x,100,547,TRUE,x,R_ey2AnEE0cItHkFX,,,,,32.21299744,-110.8279037,anonymous,EN,Unsure,Definitely yes,Definitely yes,Definitely yes,Definitely yes,x,x,x,x,No,Yes,x,Extremely satisfied,Extremely satisfied,Somewhat satisfied,It would be helpful to teach in person classes in the summer,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Never,x,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,x,Agree,Strongly agree,Strongly agree,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Never,Never,Never,Always,Never,Never,Never,Agree,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Disagree,Probably not,,x,x,x,Cognition and Neural Systems,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly Disagree,Probably yes,x,x
x,x,x,x,100,7922,TRUE,x,R_24qtEvM1XE4yrtb,,,,,32.13879395,-111.0495987,anonymous,EN,Unsure,Probably yes,Definitely yes,Definitely yes,Definitely yes,x,x,x,x,Yes,Yes,x,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,I have not TAed yet,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Never,x,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,x,Agree,Strongly agree,Strongly agree,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Never,Never,Never,Always,Never,Rarely,Rarely,Strongly agree,,Agree,Neither agree nor disagree,Agree,Agree,Agree,Definitely yes,PSY 510 because we used our own data and project for those assignments so it was very practical. I think it helped my research stay progressing throughout the semester.,x,x,x,Cognition and Neural Systems,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Disagree,Might or might not,x,x
x,x,x,x,100,761,TRUE,x,R_2v81KwFG4CTwzIW,,,,,21.32659912,-157.8621063,anonymous,EN,Unsure,Probably yes,Definitely yes,Definitely yes,Definitely yes,x,x,x,x,No,No,x,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,,No,No,No,No,No,No,No,No,No,No,Yes,No,No,,"It is unfortunate that there is only 1 accessible restroom in the building with 1 accessible stall, meaning that I have to (wait for and) ride the elevator to the 1st floor to (wait for and) use the 1 stall I can use - the waiting can make it take excessively long to get back to class/work.",Never,x,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,x,Strongly agree,Agree,Strongly agree,5,5,2,5,5,5,5,5,5,5,4,5,5,5,Never,Never,Never,Always,Never,Never,Never,Strongly agree,,Agree,,Agree,Agree,Neither agree nor disagree,Definitely yes,"Analyzing Neural Time Series Data, & Stats 507",x,x,x,Cognition and Neural Systems,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly Disagree,Might or might not,x,x
x,x,x,x,100,8712,TRUE,x,R_24Ho4ZVkH24rRfz,,,,,32.25030518,-110.9449997,anonymous,EN,Probably yes,Unsure,Definitely yes,Unsure,Probably yes,x,x,x,x,No,Yes,x,Somewhat dissatisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,TA workload needs to be more equitable. There needs to be publicly available norms for TA:student ratio for the different class levels.,No,No,No,No,No,No,No,No,No,No,No,Unsure,No,,,Sometimes,x,Agree,Neither Agree Nor Disagree,Agree,Agree,Disagree,Disagree,Neither Agree Nor Disagree,Disagree,x,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,4,5,4,4,5,5,3,4,4,3,5,4,4,4,Never,Never,Sometimes,Sometimes,Never,Sometimes,Often,Disagree,,Disagree,Neither agree nor disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Might or might not,Congitive Psychology (With a neuroscience emphasis),x,x,x,Cognition and Neural Systems,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly agree,Agree,Probably yes,x,x
x,x,x,x,100,1001,TRUE,x,R_2Qy9epUlqkKUtyp,,,,,32.25030518,-110.9449997,anonymous,EN,Probably yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,x,x,x,x,No,Yes,x,Extremely dissatisfied,Extremely dissatisfied,Extremely dissatisfied,"YES! Thank you for asking because NO ONE has. I am never respected by the teachers. They are rude, yell over email, expect the task they want done to be done ASAP. I have been asked to guest lecture without notice, ridiculed for ""writing bad test questions""and treated with disrespect. It is disgusting. There needs to be away for us to evaluate them. Also, perhaps Lee should know that grad students intentionally dont sign up for certain TA spots bc the profs are SO TERRIBLE. Why is my ""boss"" / prof I am TAing for texting me on saturday? Why is it sunday and I am being asked to guest lecture for monday? Why am I being yelled at over email for not ""emailing all the students before the deadline to make sure I can read their work""? NO. not approp. have boundaries and dont treat me like your slave. ",Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,,Sometimes,x,Disagree,Disagree,Neither Agree Nor Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,x,Somewhat agree,Strongly disagree,Somewhat disagree,4,4,2,4,4,2,2,2,4,4,2,4,1,2,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Rarely,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Definitely yes,"Heidi's class (the clinical one) and MFO's class (the clinical one), Julie teaching class ",x,x,x,Clinical,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Disagree,Definitely yes,x,x
x,x,x,x,100,258571,TRUE,x,R_3DhZSuE5Ur1uFKu,,,,,32.25030518,-110.9449997,anonymous,EN,Unsure,Unsure,Probably yes,Probably yes,Probably yes,x,x,x,x,Yes,No,x,Somewhat satisfied,Extremely satisfied,Neither satisfied nor dissatisfied,I am wondering if the department has further planning regarding the room of TA offices for those who cannot hold the office hours in their own labs.,No,No,No,No,No,No,No,Unsure,No,No,No,No,No,,,Rarely,x,Agree,Neither Agree Nor Disagree,Agree,Agree,Neither Agree Nor Disagree,Agree,Strongly Agree,Neither Agree Nor Disagree,x,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,4,4,3,4,3,5,4,3,4,4,4,4,5,5,Never,Never,Never,Often,Never,Sometimes,Sometimes,Agree,,Agree,,Agree,Disagree,Neither agree nor disagree,Definitely yes,"PSY510, PSY596 Intro. To Neural Data Analyses, PSY530",x,x,x,Cognition and Neural Systems,Agree,Agree,Neither agree nor disagree,Agree,Somewhat agree,Neither agree nor disagree,Agree,Somewhat agree,Somewhat agree,Disagree,Might or might not,x,x
x,x,x,x,100,856,TRUE,x,R_3LjRhUM111IemGm,,,,,33.86540222,-84.33850098,anonymous,EN,Unsure,Definitely yes,Probably yes,Probably not,Probably yes,x,x,x,x,No,Yes,x,Somewhat satisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,It is what it is,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,All of the time,x,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Agree,Agree,Agree,Neither Agree Nor Disagree,Agree,x,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,4,5,5,5,5,5,4,4,5,3,5,5,4,5,Never,Never,Never,Sometimes,Never,Sometimes,Sometimes,Agree,,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Might or might not,EEG/MATLAB class helping me learn an important tool for my research,x,x,x,Cognition and Neural Systems,Somewhat disagree,Strongly Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat agree,Probably not,x,x
x,x,x,x,100,2141,TRUE,x,R_yJ8K9dhGiIYxiyR,,,,,32.25030518,-110.9449997,anonymous,EN,Unsure,Probably yes,Probably yes,Probably yes,Probably yes,x,x,x,x,Yes,Yes,x,Extremely satisfied,Extremely satisfied,Somewhat satisfied,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Never,x,Agree,Agree,Agree,Agree,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,x,Agree,Agree,Agree,5,5,4,5,5,5,5,5,5,5,5,5,5,5,Never,Never,Never,Often,Never,Never,Never,Strongly agree,,Agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Probably not,,x,x,x,,Agree,Strongly agree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Agree,Neither agree nor disagree,Strongly Disagree,Probably yes,x,x
x,x,x,x,100,1092,TRUE,x,R_2XdO4vHoZVX4Uci,,,,,32.25030518,-110.9449997,anonymous,EN,Probably not,Definitely yes,Definitely yes,Definitely yes,Probably yes,x,x,x,x,No,Yes,x,Extremely satisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,"Is there any check for teachers who have gone through ""teaching remediation""? I believe there should be more stringent checks with how professors teach students and TA's. I have only had one negative experience as a teaching assistant (which was presented to the Head of Graduate Studies) but it was very negative and seemed like a longstanding issue with students.",No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Rarely,x,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Agree,Neither Agree Nor Disagree,Agree,Disagree,Agree,x,Disagree,Disagree,Disagree,5,3,2,3,4,4,3,4,4,4,4,4,2,2,Rarely,Rarely,Rarely,Often,Never,Often,Sometimes,Agree,Agree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Might or might not,All classes regarding my concentration/minor have been the most helpful (I don't feel comfortable disclosing what that is/what those classes are but basically anything immediately relevant to me),x,x,x,Clinical,Somewhat agree,Somewhat agree,Neither agree nor disagree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Disagree,Probably not,x,x
x,x,x,x,100,1099,TRUE,x,R_1jj5Z9RRJtNpB2q,,,,,39.11430359,-94.62529755,anonymous,EN,Definitely not,,Unsure,Probably yes,Probably yes,x,x,x,x,No,No,x,Somewhat satisfied,Somewhat satisfied,Somewhat dissatisfied,"I have found that with the exception of a couple of TA-Ships they do not really help you grow, but often a lot of busy work. There is widely varying flexibility on overlap between TA and clinical (sometimes hugely flexible; sometimes not at all)",Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,,,Rarely,x,Strongly Agree,Strongly Agree,Neither Agree Nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,x,Neither agree nor disagree,Somewhat agree,Strongly agree,5,2,2,3,5,2,1,3,2,4,2,4,2,2,Rarely,Rarely,Sometimes,Often,Sometimes,Rarely,Sometimes,Strongly agree,Strongly agree,Strongly agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,,clinical assessment and intervention ,x,x,x,Clinical,Strongly agree,Strongly agree,Disagree,Agree,Strongly agree,Agree,Agree,Strongly agree,Disagree,Strongly Disagree,Definitely yes,x,x
x,x,x,x,100,838,TRUE,x,R_2vdDQk6T93LKhqy,,,,,31.85240173,-110.9992981,anonymous,EN,Probably not,Definitely yes,Probably yes,Probably yes,Probably yes,x,x,x,x,Yes,Yes,x,Somewhat satisfied,Extremely satisfied,Somewhat satisfied,A position as a teaching assistant does not grant ability for growth as an instructor unless specifically asked for. Teaching assistant-ships are variable in their experience and actual workload. ,No,Yes,Yes,No,Unsure,No,No,Yes,Yes,No,No,No,No,,,Often,x,Agree,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Disagree,x,Somewhat disagree,Disagree,Disagree,4,3,2,4,4,2,4,1,3,3,3,4,2,2,Rarely,Rarely,Sometimes,Often,Rarely,Always,Often,Agree,,Neither agree nor disagree,Strongly Disagree,Neither agree nor disagree,Disagree,Agree,Probably yes,Health Foundations; Jeff Stone's Social Psychology course,x,x,x,,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Probably not,x,x
x,x,x,x,100,579,TRUE,x,R_1qX56joPZ395mu5,,,,,48.67070007,11.46980286,anonymous,EN,Definitely not,Unsure,Definitely yes,Definitely yes,Definitely yes,x,x,x,x,Yes,No,x,Somewhat dissatisfied,Somewhat satisfied,Somewhat satisfied,,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,,Rarely,x,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,x,Agree,Agree,Agree,5,5,2,5,3,5,2,3,5,3,5,4,4,4,Never,Never,Never,Never,Never,Never,Sometimes,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Definitely not,Social Psych w Greenberg,x,x,x,,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Agree,Strongly Disagree,Definitely yes,x,x
x,x,x,x,100,1555,TRUE,x,R_qRhv63Sk7RJmCn7,,,,,32.14529419,-110.9456024,anonymous,EN,Probably not,Probably yes,Definitely yes,Probably yes,Unsure,x,x,x,x,No,Yes,x,Neither satisfied nor dissatisfied,Extremely satisfied,Neither satisfied nor dissatisfied,"For the most part, the workload from my TA positions has been very light. We are expected to have office hours but, in my experience, they are rarely used. I'm not quite sure how we might be more helpful to the department.",No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Never,x,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Disagree,Disagree,Agree,x,Somewhat agree,Somewhat agree,Somewhat agree,4,5,4,4,3,5,4,5,5,5,5,5,5,5,Never,Never,Never,Often,Never,Rarely,Sometimes,Disagree,,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Probably yes,Core CNS classes.,x,x,x,Cognition and Neural Systems,Strongly agree,Agree,Disagree,Somewhat disagree,Disagree,Neither agree nor disagree,Somewhat disagree,Disagree,Somewhat agree,Somewhat agree,Definitely yes,x,x
x,x,x,x,100,7014,TRUE,x,R_RCvDShGGZuDGCC5,,,,,32.21229553,-110.8789978,anonymous,EN,Probably yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,x,x,x,x,Yes,No,x,Somewhat satisfied,Extremely satisfied,Extremely satisfied,,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Never,x,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree Nor Disagree,Agree,x,Somewhat agree,Agree,Somewhat agree,5,5,4,5,5,5,5,5,5,5,5,5,5,5,Never,Never,Never,Always,Never,Never,Never,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Definitely yes,"clinical classes and practicums, and classes specific to my minor (e.g. behavioral medicine)",x,x,x,Clinical,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly Disagree,Probably yes,x,x
x,x,x,x,100,1823,TRUE,x,R_1lytPcw63GckXOU,,,,,32.25030518,-110.9449997,anonymous,EN,Definitely yes,Definitely yes,Probably yes,Definitely yes,Probably yes,x,x,x,x,No,Yes,x,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,,,All of the time,x,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,x,Disagree,Strongly disagree,Strongly disagree,1,2,1,1,1,1,2,1,5,2,5,1,2,5,Never,Never,Never,Never,Never,Often,Always,Agree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,Definitely not,,x,x,x,,Strongly agree,Strongly agree,Disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly Disagree,Strongly Disagree,Might or might not,x,x
x,x,x,x,100,2499,TRUE,x,R_3gTqDgjVj4ZnzYS,,,,,33.78729248,-117.9230957,anonymous,EN,Probably yes,Definitely yes,Unsure,Definitely yes,Unsure,x,x,x,x,No,Yes,x,Extremely dissatisfied,Extremely dissatisfied,Somewhat satisfied,There is no formal mechanism to evaluate our TA professors. This makes the TA-professor relationship ripe for abuse and unethical behavior. ,No,Unsure,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Status as a parent ,Often,x,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Agree,Disagree,Strongly Disagree,Agree,Neither Agree Nor Disagree,x,Somewhat agree,Disagree,Strongly disagree,2,3,2,2,1,4,5,4,5,3,4,3,1,3,Never,Never,Never,Sometimes,Never,Always,Sometimes,Disagree,Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Probably yes,"Advanced psychopathology, PNI, ",x,x,x,Clinical,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly Disagree,Might or might not,x,x
x,x,x,x,100,1783,TRUE,x,R_yTRrPs8m55hEMhz,,,,,32.26989746,-110.9852982,anonymous,EN,Definitely yes,Probably yes,Probably yes,Probably yes,Probably yes,x,x,x,x,Yes,No,x,Somewhat satisfied,Extremely satisfied,Somewhat satisfied,,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Never,x,Agree,Agree,Agree,Agree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,x,Agree,Agree,Somewhat agree,4,5,4,4,4,5,5,5,5,4,5,3,4,3,Never,Never,Never,Often,Never,Rarely,Sometimes,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Probably not,Neuroanatomy,x,x,x,Cognition and Neural Systems,Strongly agree,Agree,Strongly Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Might or might not,x,x
x,x,x,x,3,18,FALSE,x,R_3mgagyYnevXJd3r,,,,,,,anonymous,EN,,,,,,x,x,x,x,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,,,,,,,,,,,,,x,x
x,x,x,x,100,3924,TRUE,x,R_UYcQVFoerddctqx,,,,,32.21389771,-110.9693985,anonymous,EN,Unsure,Definitely yes,Probably not,Definitely yes,Unsure,x,x,x,x,No,No,x,Somewhat dissatisfied,Neither satisfied nor dissatisfied,Extremely dissatisfied,"There absolutely needs to be a formal avenue for TAs to evaluate their instructors. They evaluate us, why can't we share our experience with them? I had a horrible experience with the prof I TA'd for this semester (didn't use rubrics, used scare tactics with students, displayed poor communication with both students and TAs) but was left feeling silenced because I didn't feel comfortable speaking directly to the prof and I didn't have a resource to contact in the department.",No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,,Never,x,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Agree,Agree,Strongly Agree,Agree,Agree,x,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,4,3,2,3,2,2,3,4,4,4,5,4,2,2,Never,Never,Never,Sometimes,Never,Often,Rarely,Agree,,Strongly agree,Agree,Strongly Disagree,Agree,Disagree,Definitely yes,PSY 596T (Teaching Course),x,x,x,Social,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly Disagree,Definitely yes,x,x
x,x,x,x,3,3,FALSE,x,R_2q47SSr8nJdTTjC,,,,,,,anonymous,EN,,,,,,x,x,x,x,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,,,,,,,,,,,,,x,x
x,x,x,x,100,725,TRUE,x,R_1oEY24zkN45RGsO,,,,,32.21299744,-110.8279037,anonymous,EN,Probably not,Probably yes,Probably yes,Probably yes,Probably yes,x,x,x,x,No,Yes,x,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,,No,No,Unsure,No,No,No,No,No,No,No,No,No,No,No,,Never,x,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,x,Agree,Strongly agree,Somewhat agree,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Never,Never,Never,Always,Never,Never,Rarely,Agree,,Strongly agree,,Strongly agree,Strongly agree,Neither agree nor disagree,Probably not,"Teaching of Psychology, Social Psychology",x,x,x,Social,Agree,Strongly agree,Strongly Disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly Disagree,Probably not,x,x
x,x,x,x,32,306,FALSE,x,R_1NmqtCl78yrHv4i,,,,,,,anonymous,EN,Probably not,Probably yes,Probably yes,Definitely yes,Definitely yes,x,x,x,x,Yes,No,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,,,,,,,,,,,,,x,x
x,x,x,x,100,1510,TRUE,x,R_1QuZR8DZWGwYSwT,,,,,32.18499756,-110.8171005,anonymous,EN,Unsure,Definitely yes,Probably yes,Definitely yes,Probably yes,x,x,x,x,No,Yes,x,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,,No,Unsure,Unsure,Unsure,Unsure,Unsure,No,Unsure,No,No,No,Unsure,Unsure,Unsure,,Sometimes,x,Agree,Agree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,x,Agree,Somewhat disagree,Agree,5,4,1,5,5,4,5,5,5,5,3,5,2,3,Never,Never,Never,Often,Rarely,Never,Sometimes,Neither agree nor disagree,,Agree,Strongly Disagree,Agree,Neither agree nor disagree,Disagree,Might or might not,Advanced Social Psychology,x,x,x,Social,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Somewhat agree,Agree,Agree,Somewhat agree,Strongly agree,Disagree,Definitely yes,x,x
x,x,x,x,45,343,FALSE,x,R_2XpuCzA4DHhbYZ6,,,,,,,anonymous,EN,Unsure,Definitely yes,Probably yes,Definitely yes,Probably yes,x,x,x,x,No,Yes,x,Somewhat dissatisfied,Somewhat satisfied,Somewhat satisfied,,No,Unsure,Unsure,No,No,No,No,Unsure,No,No,No,No,No,,,Never,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,,,,,,,,,,,,,x,x
x,x,x,x,100,742,TRUE,x,R_3oZRDIPxnNXaSo3,,,,,32.08389282,-110.9003983,anonymous,EN,Definitely not,Definitely yes,Unsure,Definitely yes,Unsure,x,x,x,x,Yes,Yes,x,Extremely satisfied,Extremely satisfied,Extremely satisfied,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Never,x,Agree,Neither Agree Nor Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,x,Somewhat agree,Somewhat disagree,Agree,5,5,2,5,5,3,5,5,4,5,5,5,5,5,Never,Never,Rarely,Sometimes,Never,Never,Rarely,Strongly agree,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Disagree,,Sully's (Cultural Psychology and Existential Psychology) and Alyssa's (Gender Identity) classes,x,x,x,Social,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,,x,x
x,x,x,x,87,1275,FALSE,x,R_2UaLJx64LHTYE3T,,,,,,,anonymous,EN,Probably yes,Definitely yes,Probably not,Definitely yes,Unsure,x,x,x,x,No,No,x,Somewhat satisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,Hard to answer considering the differences between the instructors one is assigned to. Not convinced that most TA duties are helpful in growing as an instructor. Teaching in the summer and/or winter though is.,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,,,Rarely,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,Never,Never,Never,Rarely,Never,Sometimes,Often,Agree,,Neither agree nor disagree,Strongly Disagree,Disagree,Disagree,Disagree,Might or might not,,x,x,x,,,,,,,,,,,,,,
